"Cat1","Cat2","Code","Art","Name","Price","Weight","WeightType","Description","photo"
"Китайский чай","Да Хун Пао Нун Сян 2022","products","у130"," Да Хун Пао Нун Сян 2022","231 ₽","50"," г.",", входящий в четверку знаменитых утёсных чаев с гор У И вместе с Бай Цзы Гуань (Белый петушиный гребень), Шуй Цзинь Гуй (Золотая водяная черепаха) и Те Лохань (Железный архат).","у130.jpg"
"Китайский чай","Пуэр","puer","п333","Да Шу Бай Ли Лао Му","5170 ₽","357000"," г.","","п333.jpg"
"Китайский чай","Улуны","uluny","у107","Ци Лань Сян Дань Цун. Весна 2022","1210 ₽","50"," г.","Ци Лань Сян собирают с больших одиночных чайных деревьев – Дань Цунов (одинокие кусты). Чай, собранный в горах Фен Хуан с различных чайных деревьев, получается с разными ароматами. Встречается улун с ароматом орхидеи, магнолии, коричного дерева, и даже с ароматом кофе. Растет этот чай в горах, вдалеке от цветочных полей, его не ароматизируют искусственным путем и не добавляют цветы при сушке, а все ароматы — особенность данного улуна.","у107.jpg"
"Китайский чай","Да Хун Пао Бали Сян","products","у220","Да Хун Пао Бали Сян","1487 ₽","50"," г.","","у220.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к8","Дянь Хун Д Нун Ча Осень 2022","242 ₽","50"," г."," знаменитый красный чай из провинции Юньнань. В его составе ","к8.jpg"
"Китайский чай","Улуны","uluny","у241","Я Ши Сян Гао Шань","1078 ₽","50"," г."," Я Ши Сян переводится как «Аромат Утиного Помета». Считается, что такое название он получил из-за пестрой земли на месте своего произрастания – близ потухшего вулкана Удун, эту местность прозвали «Землей Утиного Помета» или «Яшиту».","у241.jpg"
"Китайский чай","Пуэр","puer","п232","Гунтин Мэнхай","327 ₽","50"," г.",". ","п232.jpg"
"ПОСУДА","Чашка «Бамбук» 125 мл","products","ч226-2","Чашка «Бамбук»","1200 ₽","","","","ч226-2.jpg"
"Китайский чай","Улуны","uluny","у248","Тегуанинь Гандэ. Весна 2022","429 ₽","50"," г.","Собран в Гандэ весной 2022  года - деревне, находящейся высоко в горах. Те Гуань Инь из Гандэ отличается особенным ярким, красивым ароматом и вкусом, усиливающимся и изменяющимся о заварки к заварке.","у248.jpg"
"ПОСУДА","Чашечки","chashechki","ч238","Чашка «Золотой иероглиф»","460 ₽","","","","ч238.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к10","Дянь Хун Мао Фен","385 ₽","50"," г.","","к10.jpg"
"Китайский чай","Пуэр","puer","п404","Лян Шань 7571","2420 ₽","357"," г.","Аромат: орехово-древесный с оттенками горького шоколада.","п404.jpg"
"Китайский чай","Пуэр","puer","п15","Да Шу Ча Гао Шань Менхай","760 ₽","100"," г.","Сырье для этого пуэра собрано и спрессовано в округе Мэнхай.","п15.jpg"
"Ароматизированные чаи","Пинаколада","products","а4","Пинаколада","139 ₽","50"," г.","В составе  каркадэ,кусочки ананаса, манго, яблок, клюквы. ","а4.jpg"
"ПОСУДА","Кружка «Бархан» желтый, 360 мл","products","ч252","Кружка «Бархан» желтый, 360 мл","1800 ₽","","","","ч252.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф37","Кролик, изменяющий цвет","748 ₽","","","Веселый заяц, изменяющий цвет.","ф37.jpg"
"Китайский чай","Пуэр","puer","п401","Инь Хао Йонг Ча, 2007 год","6380 ₽","357"," г.","","п401.jpg"
"Китайский чай","Улуны","uluny","у29","Дун Дин Цин Сян","540 ₽","50"," г.",", собранный в окрестностях горы Дун Дин в уезде Наньтоу.","у29.jpg"
"Китайский чай","Пуэр","puer","п139","Шар Шен","390 ₽","50"," г.","и обернутой золотой фольгой. Вес одного шара – 9 грамм. Это крепкий шен, половины шара будет достаточно для заваривания проливом в гайвани 150 мл или обычным способом в чайнике 1 л.","п139.jpg"
"Китайский чай","Пуэр","puer","п363","Нань Шань Шен, 2021 г.","2200 ₽","357"," г."," –  высокогорный крупнолистовой ","п363.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч245-1","Чахай «Ромб» orange","980 ₽","250"," г.","Стекло. Объем: 370 мл.","ч245-1.jpg"
"Китайский чай","Улуны","uluny","у45","Да Хун Пао Цин Сян В.","292 ₽","50"," г.",", входящий в четверку знаменитых утёсных чаев с гор У И вместе с Бай Цзы Гуань (Белый петушиный гребень), Шуй Цзинь Гуй (Золотая водяная черепаха) и Те Лохань (Железный архат). Слова Цин Сян в названии означают лёгкий аромат, или чистый аромат. Этот сорт Да Хун Пао отличается более светлым цветом листа – бордово-зеленым, а также большей нежностью и меньшей крепостью во вкусе. Да Хун Пао Цин Сян имеет более сильный расслабляющий эффект.","у45.jpg"
"Китайский чай","Пуэр","puer","п332","Дун Хай Ци Ю Яо Сян (аромат лечебных трав)","5445 ₽","357"," г.","Дун Хай Ци Ю (зеленая печать) с чабрецом.  Аромат лекарственных трав Юннани.","п332.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к51","Сяо Чжун А (Лапсанг сушонг)","385 ₽","50"," г."," ","к51.jpg"
"Китайский чай","Хей Ча","khei-cha","хз9","Хей Ча Нун Сян Аньхуа 1991 г","5304 ₽","1000"," г.","Хей Ча прессуют в форме кирпича. Прессовка легкая, слои отделяются очень легко. При изготовлении этих «кирпичей» используется особая сложная технология.","хз9.jpg"
"Китайский чай","Улуны","uluny","у227","Те Гуанинь Гандэ Мао Ча. Весна 2022","297 ₽","50"," г.","","у227.jpg"
"Травы Кавказа","Сбор Очищающий","products","тр2","Сбор Очищающий","1050 ₽","150"," г.","Травы собраны вручную на высоте 1500-2500 метров на альпийских лугах Кавказа.","тр2.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф38","Панда. Фигурка, изменяющая цвет","850 ₽","","","Забавная фигурка, изменяющая цвет.","ф38.jpg"
"Китайский чай","Пуэр","puer","п408","Чунь Пу, 100 г","506 ₽","100"," г.","Вес блинчика - 100г.","п408.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч64","Чахай Красная нить","695 ₽","","","","ч64.jpg"
"Китайский чай","Пуэр","puer","п394","Син Шен Из Биндао (абрикосовый)","1375 ₽","50"," г.","При изготовлении ","п394.jpg"
"Китайский чай","Пуэр","puer","п420","Дьен Сян Чжан Пин, 2012","2090 ₽","357"," г."," - вкусный. орехово-сливочный пуэр из крупнолистового сырья с большим количеством почек. Прессовка блина слабая.","п420.jpg"
"Нечайный ЧАЙ","МАТЧА","matcha","з70","Матча Ча Дао Лин","549 ₽","50"," г.","Матча - это порошковый зеленый чай. При его изготовлении чайные листья высушиваются и тщательно перемалываются.","з70.jpg"
"Китайский чай","Пуэр","puer","п61","Лао ча тоу А","528 ₽","50"," г.",", приготовленный из сырья 2006 года. Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п61.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч247","Чахай «Классический», 280 мл","760 ₽","",""," - непременный атрибут чаепития и обойтись без него совершено невозможно. В него сливают чай из чайничка или гайвани, и уже из него разливают по чашечкам.","ч247.jpg"
"Китайский чай","Белый чай","whitetea","б6","Бай Ча Лу Ши","5940 ₽","357"," г."," — это ","б6.jpg"
"Китайский чай","Белый чай","whitetea","б414","Лао Бай Ча Бин, 357 г.","3080 ₽","357"," г.","","б414.jpg"
"Китайский чай","Улуны","uluny","у239","Алишань Гао Шань Ча","640 ₽","50"," г."," ","у239.jpg"
"Китайский чай","Пуэр","puer","п307","Да Цзинь Я (Шу почки) А","509 ₽","50"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ","п307.jpg"
"ПОСУДА","Чашечки","chashechki","ч185","Чашечка «Лотос»","312 ₽","","","Китайцы пьют чай из маленьких чашечек, от 20 до 70 мл. Чай заваривается по методу пролива в чайнике или гайвани объемом от 100 до 300 мл. При этом чая берут много, 1-2 столовые ложки. Фишка в том, что чай настаивается всего 20-60 секунд, после чего его разливают по пиалам и снова заливают заварку кипятком. Качественный чай выдерживает до 10 и более проливов. Каждый новый пролив будет немного отличаться по вкусу, цвету и аромату, так как чай раскрывается от пролива к проливу.","ч185.jpg"
"Китайский чай","Пуэр","puer","п400","Сан Иен Сильвер 2007 год","6380 ₽","357"," г.","","п400.jpg"
"ПОСУДА","Чашка «Иероглиф» №4, 75 мл","products","ч227-4","Чашка «Иероглиф» №4, 75 мл","1620 ₽","150"," г.","Объем: 75 мл.","ч227-4.jpg"
"ПОДАРКИ НОВЫЙ ГОД 2023!","Подарок «НиХао»","products","чп23","Подарок «НиХао»","915 ₽","130"," г.","","чп23.jpg"
"ПОСУДА","Ча Бань (Чайные доски)","cha-ban-chainye-doski","ч217","Чабань «Конь»","12180 ₽","","","Размер: 47х33х7,5 см.","ч217.jpg"
"ПОСУДА","Гайвани","gaivani","ч241","Гайвань стеклянная (green)","1800 ₽","",""," – это чаша с крышкой и блюдцем-подставкой, которая издавна используется в Китае для заваривания чая.","ч241.jpg"
"Китайский чай","Пуэр","puer","п411","Точа Тулинь Лао Шен 2004 год","5170 ₽","250"," г.","","п411.jpg"
"Китайский чай","Улуны","uluny","у251","Габа Сапфир","1650 ₽","50"," г."," ","у251.jpg"
"Китайский чай","Пуэр","puer","п415","ИУ Гу Шу","1345 ₽","50"," г.","рассыпной пуэр из сырья высокого качества.  Собран и произведен в ИУ с древних деревьев.","п415.jpg"
"Китайский чай","Пуэр","puer","п257","Чан Сян Гун Бин (камфорный торт)","2420 ₽","357"," г.","Прессовка блина несильная, слои легко отделяются вручную или пуэрным ножом, в купаже ","п257.jpg"
"ПОСУДА","Чашечки","chashechki","ч228-1","Звёздное облако Стрельца","800 ₽","150"," г.","","ч228-1.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к85","Сяо Чжун Лапсанг Сушонг","385 ₽","50"," г."," — ","к85.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф33","Крыса на слитке с монетками № 1","938 ₽","250"," г.","","ф33.jpg"
"Китайский чай","Пуэр","puer","п416","Шу Бин Дао","1075 ₽","50"," г.","рассыпной пуэр из сырья высокого качества.  Собран и произведен в деревне у горы Бин Дао в деревне с одноименным названием.","п416.jpg"
"Китайский чай","Белый чай","whitetea","б11","Бай Хао Инь Чжень.","1375 ₽","50"," г.","Серебряными Иглами этот чай назвали из-за того, что ","б11.jpg"
"Китайский чай","Улуны","uluny","у229","Габа «Аметист»","1100 ₽","50"," г."," Его ферментация происходит без участия кислорода, что и способствует образованию в чайном листе ГАМК (гамма-аминомасляной кислоты) или GABA (Gamma-aminobutyric acid) – аминокислоты, вырабатывающейся в нервной системе и служащей посредником при передаче нервных импульсов. Она создает равновесие между процессами возбуждения и торможения.","у229.jpg"
"ПОСУДА","Аксессуары","aksessuary","ч142","Тясаку (чайная ложечка для маття)","166 ₽","","","","ч142.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф32-2","Мышка с ребенком № 3","882 ₽","200"," г.","","ф32-2.jpg"
"Китайский чай","Пуэр","puer","п282","Юн Чжень «Золотой Дракон» 2016 год","2970 ₽","357"," г.","","п282.jpg"
"Китайский чай","Дянь Хун Премиум Урожай 2022","products","к322","Дянь Хун Премиум Урожай 2022","550 ₽","50"," г.","  Урожай 2022 – ","к322.jpg"
"ПОСУДА","Чашка Галактика Seashell, 105 мл","products","ч228-5","Чашка Галактика Seashell, 105 мл","800 ₽","150"," г.","","ч228-5.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к59","Цзинь Чжень. Урожай 2022","1080 ₽","50"," г.","– редкий юньнаньский чай премиум сорта","к59.jpg"
"Китайский чай","Добавки к чаю","dobavki-k-chaiu","т9","Саган Дайля","485 ₽","50"," г."," –  растение из рода рододендронов, произрастающее в Бурятии, на Дальнем Востоке, в Хабаровской области и в Саянах.","т9.jpg"
"Нечайный ЧАЙ","Гречишный чай КуЦяо","products","нч2","Гречишный чай КуЦяо","627 ₽","","","Ку Цяо производится из зёрен лекарственной гречихи. Это не та гречка, которую мы с вами привыкли есть. Лекарственная гречиха произрастает в горных районах Китая. Гречишный чай","нч2.jpg"
"Китайский чай","Улуны","uluny","у247","Дун Дин Нун Сян","517 ₽","50"," г.","","у247.jpg"
"Китайский чай","Пуэр","puer","п413","Пуэр в лайме, 50 г","352 ₽","50"," г.","помещенный внутрь кожуры лайма. Для этого используются не обычные лаймы, а специальный миниатюрный сорт. Изготавливают такой чай просто: берут лаймы и подсушивают их несколько дней на солнце. Затем сердцевину удаляют и помещают внутрь чай. Снова подсушивают. И чай готов.","п413.jpg"
"ПОСУДА","Чашечки","chashechki","ч133-2","Кружка ""Мао"" 1","179 ₽","","","","ч133-2.jpg"
"Ароматизированные чаи","Личи улун","products","а1","Личи улун","140 ₽","50"," г.","(светлый) улун с сильной ноткой китайской сливы — личи. Этот чай изготовлен из сырья Те Гуань Инь. Личи улун это ароматизированный чай, его качество определяется за счет сырья и ароматизатора высокого качества.","а1.jpg"
"Китайский чай","Пуэр","puer","п192","Лань Сян Гу Ча (Шен из Бин Дао)","4378 ₽","1000"," г."," – это деревня высоко в горах на севере уезда Мэнку. Круглый год там тепло, как весной, и не бывает снега. Чай в Бин Дао начали выращивать с 15-го века, и из-за уникального климата и состава почвы чай, собранный в этой местности, веками считался самым лучшим во всем Китае.","п192.jpg"
"Китайский чай","Пуэр","puer","п230","Гунтин Да Дэ Мэнхай","385 ₽","50"," г.","Это означает, что сырье для такого чая собрано исключительно","п230.jpg"
"Китайский чай","Добавки к чаю","dobavki-k-chaiu","т5","Кудин Веретено","308 ₽","50"," г."," изготавливают из вечнозеленого субтропического растения ","т5.jpg"
"Китайский чай","Красный чай","krasnyi-chai","с11","Ча Гао Хунча","35 ₽","",""," полученный  методом холодного отжима и последующим выпариванием и высушиванием. В результате получаются маленькие шарики, которые полностью растворяются в горячей воде. Чайная смола содержит гораздо большее количество полезных веществ, чем листовой чай и имеет очень сильный тонизирующий эффект.","с11.jpg"
"Китайский чай","Пао Тха Хун Ча (Красная Пагода)","products","к44","Пао Тха Хун Ча (Красная Пагода)","825 ₽","50"," г."," - красный чай из Юньнани, связанный в форме маленьких пагод.","к44.jpg"
"Китайский чай","Пуэр","puer","п412","Лао ча тоу Лао Бань Чжан 2005 год","1530 ₽","50"," г."," приготовленный из сырья 2005 года. Он спрессован в форме комков диаметром 1-5 см, которые образуются по краям куч из листьев пуэра в процессе влажного скирдования. Некоторые листики слеживаются, образуя комки, ферментация в которых идет медленнее – так получаются старые чайные головы","п412.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч257","Чахай с деревянной ручкой и ситом","1700 ₽","",""," - непременный атрибут чаепития и обойтись без него совершено невозможно. В него сливают чай из чайничка или гайвани, и уже из него разливают по чашечкам.","ч257.jpg"
"ПОСУДА","Чашечки","chashechki","ч226-2","Чашка «Бабочка»","1200 ₽","","","","ч226-2.jpg"
"ПОСУДА","Чашечки","chashechki","ч239-4","Чашка «Бабочка»","1400 ₽","","","Фаянс, 110 мл","ч239-4.jpg"
"Китайский чай","Пуэр","puer","п383","Фэн хуан лун (тибетская коллекция) 2018","4114 ₽","357"," г.","У этого шу пуэра повышенное содержание Ча Ци. Эффект - просто потрясающий. Хороший пуэр для начала дня.","п383.jpg"
"Китайский чай","Пуэр","puer","с7","Ча Гао Шу","32 ₽","","","Вес одного брикетика – около грамма, его хватает на литровый чайник. Если сильно не размешивать смолу в воде, то можно заваривать и в обычной чашке, заливая ее снова и снова кипятком.","с7.jpg"
"Китайский чай","Пуэр","puer","п406","Юн Дэ Шу Ча","300 ₽","50"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ускоренной ферментации, благодаря чему шу пуэр обладает необычным запоминающимся вкусом, сильным бодрящим эффектом и множеством полезных свойств.","п406.jpg"
"ПОСУДА","Типоды","tipody","ч18","Колба с ручкой","1664 ₽","150"," г.","Удобная колба для заваривания чая. Подойдет для любого чая.","ч18.jpg"
"Китайский чай","Улуны","uluny","у201","Те гуанинь Гандэ А. Осень 2022","539 ₽","50"," г.","Собран в Гандэ осенью 2022  года - деревне, находящейся высоко в горах. Те Гуань Инь из Гандэ отличается особенным ярким, красивым ароматом и вкусом, усиливающимся и изменяющимся о заварки к заварке.","у201.jpg"
"Китайский чай","Улуны","uluny","у253","Да Хун Пао Чунь Цилань (Весенняя орхидея с гор УИ)","353 ₽","50"," г."," –  ","у253.jpg"
"ПОСУДА","Чашка Галактика Синяя, 105 мл","products","ч228-3","Чашка Галактика Синяя, 105 мл","800 ₽","150"," г.","","ч228-3.jpg"
"ПОСУДА","Ча Бань (Чайные доски)","cha-ban-chainye-doski","ч216","Чабань «Луна»","11970 ₽","","","Размер: 47х33х7,5 см.","ч216.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф38","Панда и бамбук, фигурка, изменяющая цвет","850 ₽","","","Забавная фигурка, изменяющая цвет.","ф38.jpg"
"Китайский чай","Пуэр","puer","п381","Гуфа Монг Цун 2011","520 ₽","50"," г."," – это вид чая, сырье для которого подвергается ","п381.jpg"
"Китайский чай","Свежемолотый Имбирь","products","нч5","Свежемолотый Имбирь","809 ₽","100"," г.","Имбирь содержит незаменимые аминокислоты — тиамин, рибофлавин, эфирные масла (зингиберен, гингерол, линалоол); органические кислоты — линолиевую, никотиновую, олеиновую, каприловую; витамины — В1, В2, В5, А, С; минеральные вещества — кальций, натрий, цинк, калий, фосфор.","нч5.jpg"
"ПОСУДА","Гайвани","gaivani","ч240","Гайвань стеклянная","700 ₽","",""," – это чаша с крышкой и блюдцем-подставкой, которая издавна используется в Китае для заваривания чая.","ч240.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф36","Фигурка, меняющая цвет. «Нефритовый персик Дракона»","950 ₽","","","Забавная фигурка, изменяющая цвет.","ф36.jpg"
"Китайский чай","Пуэр","puer","п260","Мьен Дьен Е Шен Пуэр Шу Ча 2015 год","451 ₽","50"," г.","пуэр из Бирмы. Фермерское сырье, собрано с больших чайных деревьев, произрастающих в Мьянме.","п260.jpg"
"Китайский чай","Улуны","uluny","у95","У И Хуан Мей Гуй. Урожай 2021","832 ₽","50"," г.","У И Хуан Мей Гуй (Желтая роза с гор У И) – это улун средней степени прожарки категории «чжэнь янь дэ ча» (оригинальный утесный чай), собранный в районе Уишань, что на юго-востоке Китая. Уишань считается родиной улунов, их собирают здесь с XVII века.","у95.jpg"
"НОВАЯ ПОСТАВКА 2022","Лун Цзин B Весна 2022","products","з52","Лун Цзин B Весна 2022","539 ₽","50"," г."," – ","з52.jpg"
"Китайский чай","Пуэр","puer","п155","Кэ И Син Ча Чжуань 2006 год.","650 ₽","50"," г.","Кирпич шен. Сырье 2006 года, старый шен. С копчено-дымным ароматом, мягкий по вкусу и в то же время удивительный эффект. Как будто сидишь у костра, вдыхаешь этот дым и весь мир проносится где-то рядом.","п155.jpg"
"Китайский чай","Сяо Чжун B 2022","products","к84","Сяо Чжун B 2022","275 ₽","50"," г."," ","к84.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з62","Тай Пин Хоу Куй. Весна 2022","1001 ₽","50"," г."," собранный в поселке Чжукэн (уезд Тай Пин, провинция Аньхой). ","з62.jpg"
"ПОСУДА","Чашка «Пион», высокая 110 мл","products","ч239-1","Чашка «Пион»","1400 ₽","","","","ч239-1.jpg"
"ПОСУДА НОВИНКИ","Чашка «Кратер» голубая","products","ч189-2","Чашка «Кратер» голубая","900 ₽","","","","ч189-2.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к82","Чжень Шань Сяо Чжун Мэнг Чжень","1124 ₽","50"," г."," ","к82.jpg"
"Китайский чай","Пуэр","puer","п365","Бань Чжан Гу Яо 2021 г.","3364 ₽","357"," г.","чайные листья слегка подвяливают на открытом воздухе, а дальше они стареют естественным путем. Этот способ изготовления пуэра известен с глубокой древности. Технологию производства шу пуэра, когда подвяленные листья поливают водой и укрывают тканью, что способствует прению, придумали только в 1973 году. Со временем шен пуэр не только не портится, а, наоборот, улучшает свой вкус и воздействие на организм.","п365.jpg"
"Китайский чай","Пуэр","puer","с6","Ча Гао шен. смола пуэра шен.","32 ₽","1"," г."," методом холодного отжима и последующим выпариванием и высушиванием. В результате получаются маленькие квадратики, которые полностью растворяются в горячей воде. Пуэрная смола содержит гораздо большее количество полезных веществ, чем листовой пуэр и имеет очень сильный тонизирующий эффект.","с6.jpg"
"ПОСУДА","Чахай «Хаки» 125 мл","products","ч231","Чахай «Хаки»","840 ₽","","","","ч231.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-2","Чашка «Лист Лотоса»","1260 ₽","","","","ч190-2.jpg"
"Китайский чай","Улуны","uluny","у108","Цюэ Шэ","1342 ₽","50"," г."," Такое название он получил благодаря своим скрученным листьям, напоминающим изогнутые воробьиные язычки. Этот чай отличается ярким ароматом летних цветов и насыщенным плотным вкусом, богатым на фруктово-цветочные оттенки. ","у108.jpg"
"ПОСУДА","Чашечки","chashechki","ч226-1","Чашка «Пион»","1200 ₽","","","","ч226-1.jpg"
"ПОСУДА","Чашечки","chashechki","ч94","Чашка «Рис» красная","210 ₽","35"," г.","","ч94.jpg"
"ПОСУДА НОВИНКИ","Гайвань «Хаки» 125 мл","products","ч230","Гайвань «Хаки»","1240 ₽","","","","ч230.jpg"
"Китайский чай","Зеленый чай","zelenyi-chai","з59","Лун Цзин B","352 ₽","50"," г."," – ","з59.jpg"
"Китайский чай","Улуны","uluny","у244","Те гуанинь ГуФа.","1016 ₽","7"," г.","","у244.jpg"
"Китайский чай","Хей Ча","khei-cha","хз11","Хей Ча Нун Сян 2002 г","6360 ₽","1000"," г.","Хей Ча спрессован в  форме кирпича. Прессовка легкая, слои отделяются очень легко. При изготовлении этих «кирпичей» используется особая сложная технология.","хз11.jpg"
"ПОСУДА","Чашечки","chashechki","ч190-5","Чашка «Лист» Нарцисс","1260 ₽","150"," г.","Объем: 110 мл.","ч190-5.jpg"
"Китайский чай","Пуэр","puer","п235","Лао Ман Э Гу Шу","1378 ₽","","","рассыпной пуэр из сырья высокого качества.  Собран и произведен в известной провинции Юньнань.","п235.jpg"
"ПОСУДА","Аксессуары","aksessuary","нечай3","CUPPS пакеты для заваривания","268 ₽","","","Как заварить любимый рассыпной чай на работе, в дороге, везде, где есть кружка и кипяток.","нечай3.jpg"
"ПОСУДА","Чашечки","chashechki","ч227-2","ашка «Иероглиф» №2","1620 ₽","150"," г.","Объем: 75 мл.","ч227-2.jpg"
"Китайский чай","Красный чай","krasnyi-chai","к67","Шай Хун А 2022","429 ₽","50"," г.","Шай Хун 2022 – это название метода приготовления чая. Переводится как «высушенный на солнце».","к67.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч237","Чахай «Золотые Иероглифы»","1280 ₽","","","«Иероглифы» выполнен из ","ч237.jpg"
"Китайский чай","Улуны","uluny","у252","Лао Ча Ван премиум","1180 ₽","50"," г.","","у252.jpg"
"ПОСУДА","Аксессуары","aksessuary","ч222","Нож для пуэра «Сигара»","378 ₽","","","","ч222.jpg"
"ПОСУДА","Чашка «Красная нить»","products","ч88","Чашка «Красная нить»","298 ₽","","","Пиала «Красная нить» для пития чая по методу","ч88.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф36","Фигурка, меняющая цвет «Гранат»","950 ₽","","","Забавная фигурка, изменяющая цвет.","ф36.jpg"
"ПОСУДА","Ча Хай","cha-khai","ч242","Чахай «Ромб» красный квадра","980 ₽","250"," г.","Стекло. Объем: 350 мл.","ч242.jpg"
"Китайский чай","Пуэр","puer","п367","КунТю Дунхай 2017 г.","3364 ₽","357"," г.","чайные листья слегка подвяливают на открытом воздухе, а дальше они стареют естественным путем. Этот способ изготовления пуэра известен с глубокой древности. Технологию производства шу пуэра, когда подвяленные листья поливают водой и укрывают тканью, что способствует прению, придумали только в 1973 году. Со временем шен пуэр не только не портится, а, наоборот, улучшает свой вкус и воздействие на организм.","п367.jpg"
"ПОСУДА","Сито фирменное «Облака»","products","ч208","Сито фирменное «Облака»","945 ₽","","","","ч208.jpg"
"ПОСУДА","Чашка обливная глазурь, 40 мл","products","ч225-1","Чашка обливная глазурь, 40 мл","1400 ₽","","","В Китае принято пить чай из небольших по объему пиал, от 20 до 70 мл. Чай заваривают в чайнчике или гайвани (чаше с крышкой), также небольших, от 100 до 300 мл. Заварки берут много, 1-2 столовые ложки. Чай настаивается от 20 до 60 секунд, его выпивают и снова заливают заварку кипятком. Качественный китайский чай остается крепким и выдерживает до  10 и более проливов. Каждая новая заварка будет немного другой по вкусу, так как чай раскрывается и в нем появляются новые оттенки.","ч225-1.jpg"
"ПОСУДА","Чашечки","chashechki","ч184","Чашка «Чайный лист»","302 ₽","","","","ч184.jpg"
"Китайский чай","Улуны","uluny","у214","Те Гуаньинь Сипин. Весна 2022","231 ₽","50"," г.","Те Гуань Инь — один из самых известных чаев как в Китае, так и за его пределами. Он множество раз получал премии на различных чайных выставках, и его экспорт постоянно растет.","у214.jpg"
"ПОСУДА","Аксессуары","aksessuary","ф32","Мышка с ребенком № 1","882 ₽","200"," г.","","ф32.jpg"
"Китайский чай","Пуэр","puer","п237","Пуэр Сан Ди Хайванг 2019 год","229 ₽","50"," г."," ","п237.jpg"
"Китайский чай","Пуэр","puer","п418","Бин Шань «Ледяная гора», 2018 год","2420 ₽","357"," г.","Шу пуэр – это вид чая, сырье для которого подвергается ускоренной ферментации, благодаря чему шу пуэр обладает необычным запоминающимся вкусом, сильным бодрящим эффектом и множеством полезных свойств.","п418.jpg"
"Китайский чай","Пуэр","puer","п151","Пуэрное сердце","835 ₽","","",", спрессованный в форме двух сердечек, которые складываются в одно. Диаметр одного сердечка равен 3,5 см, вес – 7 грамм.","п151.jpg"
